timestamp,dx,dy,dthetaw,dthetaz,time_imu,ax,ay,az,pressure
1753446923275240736,0.18,0.03,0.9781476007338057,-0.20791169081775931,1753446923265271925,-1.0,0.02,0.31,13.930000305175781
1753446923305121500,0.17,0.04,0.981627183447664,-0.1908089953765448,1753446923270279099,-1.0,0.02,0.31,13.930000305175781
1753446923335080135,0.15,0.04,0.9902680687415704,-0.13917310096006544,1753446923300283297,-0.9,0.04,0.26,13.930000305175781
1753446923365609726,0.15,0.04,0.9902680687415704,-0.13917310096006544,1753446923330418063,-0.88,-0.08,0.31,13.930000305175781
1753446923395217289,0.14,0.05,0.992546151641322,-0.12186934340514748,1753446923360897796,-0.98,-0.04,0.34,13.930000305175781
1753446923425192290,0.14,0.05,0.992546151641322,-0.12186934340514748,1753446923389923500,-0.96,0.07,0.12,13.930000305175781
1753446923454921509,0.13,0.05,0.9914448613738104,-0.13052619222005157,1753446923420213960,-0.93,0.07,0.14,13.930000305175781
1753446923484971927,0.12,0.05,0.9876883405951378,-0.15643446504023087,1753446923450094386,-1.0,-0.03,0.37,13.930000305175781
1753446923515164847,0.12,0.05,0.9876883405951378,-0.15643446504023087,1753446923505064291,-1.1,-0.01,0.56,13.930000305175781
1753446923544949358,0.12,0.06,0.9832549075639546,-0.18223552549214747,1753446923534974179,-0.97,0.02,0.26,13.930000305175781
1753446923574920170,0.12,0.06,0.9832549075639546,-0.18223552549214747,1753446923540127783,-0.97,0.02,0.26,13.930000305175781
1753446923605057530,0.11,0.06,0.9781476007338057,-0.20791169081775931,1753446923569995363,-0.93,0.04,0.44,13.930000305175781
1753446923634838937,0.1,0.06,0.9743700647852352,-0.224951054343865,1753446923624982150,-1.02,0.04,0.28,13.930000305175781
1753446923664996011,0.1,0.06,0.9743700647852352,-0.224951054343865,1753446923655050728,-0.91,0.05,0.23,13.930000305175781
1753446923694969316,0.1,0.06,0.9723699203976766,-0.2334453638559054,1753446923685059391,-0.99,0.0,0.3,13.930000305175781
1753446923724944682,0.1,0.06,0.9723699203976766,-0.2334453638559054,1753446923689929295,-0.99,0.0,0.3,13.930000305175781
1753446923754863651,0.1,0.06,0.9723699203976766,-0.2334453638559054,1753446923719865827,-1.01,0.05,-0.02,13.930000305175781
1753446923784832045,0.09,0.07,0.9723699203976766,-0.2334453638559054,1753446923750063784,-0.99,-0.02,0.47,13.930000305175781
1753446923815045847,0.09,0.07,0.9723699203976766,-0.2334453638559054,1753446923804894836,-0.97,0.05,0.27,13.930000305175781
1753446923845305055,0.09,0.07,0.9762960071199334,-0.21643961393810288,1753446923810166921,-0.97,0.05,0.27,13.930000305175781
1753446923875082764,0.09,0.07,0.9762960071199334,-0.21643961393810288,1753446923864944287,-1.0,0.03,0.36,13.930000305175781
1753446923905026452,0.08,0.07,0.981627183447664,-0.1908089953765448,1753446923870181404,-1.0,0.03,0.36,13.930000305175781
1753446923935471265,0.07,0.08,0.9862856015372314,-0.16504760586067763,1753446923924999612,-0.9,0.11,0.15,13.930000305175781
